,Date,Airline,Number of Delays,Total Flights,Percent Delayed
155,2018-01-09,OH,234.0,696.0,0.33620689655172414
156,2018-01-09,OO,456.0,2052.0,0.2222222222222222
157,2018-01-09,UA,191.0,1414.0,0.13507779349363508
158,2018-01-09,VX,48.0,192.0,0.25
159,2018-01-09,WN,890.0,3636.0,0.24477447744774478
160,2018-01-09,YV,64.0,482.0,0.13278008298755187
161,2018-01-09,YX,219.0,837.0,0.2616487455197133
162,2018-01-10,9E,74.0,650.0,0.11384615384615385
163,2018-01-10,AA,241.0,2417.0,0.09971038477451385
164,2018-01-10,AS,32.0,494.0,0.06477732793522267
165,2018-01-10,B6,143.0,805.0,0.17763975155279504
166,2018-01-10,DL,183.0,2399.0,0.07628178407669862
167,2018-01-10,EV,102.0,687.0,0.14847161572052403
168,2018-01-10,F9,72.0,316.0,0.22784810126582278
169,2018-01-10,G4,18.0,132.0,0.13636363636363635
170,2018-01-10,HA,16.0,210.0,0.0761904761904762
171,2018-01-10,MQ,67.0,741.0,0.09041835357624832
172,2018-01-10,NK,74.0,456.0,0.16228070175438597
173,2018-01-10,OH,86.0,764.0,0.112565445026178
174,2018-01-10,OO,487.0,2081.0,0.2340221047573282
175,2018-01-10,UA,133.0,1430.0,0.09300699300699301
176,2018-01-10,VX,55.0,189.0,0.291005291005291
177,2018-01-10,WN,627.0,3636.0,0.17244224422442245
178,2018-01-10,YV,57.0,522.0,0.10919540229885058
179,2018-01-10,YX,64.0,860.0,0.07441860465116279
180,2018-01-11,9E,96.0,682.0,0.14076246334310852
181,2018-01-11,AA,375.0,2487.0,0.15078407720144751
182,2018-01-11,AS,34.0,504.0,0.06746031746031746
183,2018-01-11,B6,150.0,833.0,0.18007202881152462
184,2018-01-11,DL,370.0,2561.0,0.14447481452557595
185,2018-01-11,EV,146.0,694.0,0.21037463976945245
186,2018-01-11,F9,56.0,320.0,0.175
187,2018-01-11,G4,50.0,280.0,0.17857142857142858
188,2018-01-11,HA,10.0,208.0,0.04807692307692308
189,2018-01-11,MQ,130.0,770.0,0.16883116883116883
190,2018-01-11,NK,43.0,456.0,0.09429824561403509
191,2018-01-11,OH,141.0,765.0,0.1843137254901961
192,2018-01-11,OO,601.0,2133.0,0.2817627754336615
193,2018-01-11,UA,205.0,1475.0,0.13898305084745763
194,2018-01-11,VX,11.0,197.0,0.05583756345177665
195,2018-01-11,WN,778.0,3636.0,0.21397139713971397
196,2018-01-11,YV,124.0,545.0,0.22752293577981653
197,2018-01-11,YX,105.0,871.0,0.12055109070034443
198,2018-01-12,9E,192.0,683.0,0.28111273792093705
199,2018-01-12,AA,592.0,2512.0,0.2356687898089172
200,2018-01-12,AS,58.0,505.0,0.11485148514851486
201,2018-01-12,B6,372.0,834.0,0.4460431654676259
202,2018-01-12,DL,1047.0,2576.0,0.406444099378882
203,2018-01-12,EV,182.0,701.0,0.25962910128388017
204,2018-01-12,F9,82.0,320.0,0.25625
205,2018-01-12,G4,84.0,316.0,0.26582278481012656
206,2018-01-12,HA,42.0,224.0,0.1875
207,2018-01-12,MQ,248.0,772.0,0.32124352331606215
208,2018-01-12,NK,108.0,460.0,0.23478260869565218
209,2018-01-12,OH,270.0,765.0,0.35294117647058826
210,2018-01-12,OO,783.0,2138.0,0.36623012160898033
211,2018-01-12,UA,401.0,1503.0,0.26679973386560213
212,2018-01-12,VX,67.0,199.0,0.33668341708542715
213,2018-01-12,WN,1221.0,3650.0,0.33452054794520547
214,2018-01-12,YV,139.0,546.0,0.25457875457875456
215,2018-01-12,YX,313.0,872.0,0.35894495412844035
216,2018-01-13,9E,107.0,365.0,0.29315068493150687
217,2018-01-13,AA,200.0,1975.0,0.10126582278481013
218,2018-01-13,AS,42.0,458.0,0.09170305676855896
219,2018-01-13,B6,214.0,697.0,0.30703012912482064
220,2018-01-13,DL,197.0,1626.0,0.12115621156211562
221,2018-01-13,EV,86.0,460.0,0.18695652173913044
222,2018-01-13,F9,83.0,320.0,0.259375
223,2018-01-13,G4,17.0,138.0,0.12318840579710146
224,2018-01-13,HA,78.0,210.0,0.37142857142857144
225,2018-01-13,MQ,69.0,516.0,0.13372093023255813
226,2018-01-13,NK,38.0,460.0,0.08260869565217391
227,2018-01-13,OH,170.0,626.0,0.2715654952076677
228,2018-01-13,OO,292.0,1549.0,0.18850871530019367
229,2018-01-13,UA,91.0,1200.0,0.07583333333333334
230,2018-01-13,VX,19.0,157.0,0.12101910828025478
231,2018-01-13,WN,480.0,2897.0,0.16568864342423195
232,2018-01-13,YV,82.0,456.0,0.17982456140350878
233,2018-01-13,YX,147.0,615.0,0.23902439024390243
234,2018-01-14,9E,33.0,365.0,0.09041095890410959
235,2018-01-14,AA,216.0,2270.0,0.09515418502202644
236,2018-01-14,AS,25.0,488.0,0.05122950819672131
237,2018-01-14,B6,186.0,789.0,0.23574144486692014
238,2018-01-14,DL,172.0,1818.0,0.09460946094609461
239,2018-01-14,EV,48.0,551.0,0.08711433756805807
240,2018-01-14,F9,71.0,320.0,0.221875
241,2018-01-14,G4,63.0,292.0,0.21575342465753425
242,2018-01-14,HA,8.0,216.0,0.037037037037037035
243,2018-01-14,MQ,106.0,732.0,0.1448087431693989
244,2018-01-14,NK,33.0,459.0,0.0718954248366013
245,2018-01-14,OH,140.0,646.0,0.21671826625386997
246,2018-01-14,OO,293.0,1708.0,0.1715456674473068
247,2018-01-14,UA,116.0,1368.0,0.0847953216374269
248,2018-01-14,VX,15.0,191.0,0.07853403141361257
249,2018-01-14,WN,390.0,3294.0,0.11839708561020036
250,2018-01-14,YV,52.0,505.0,0.10297029702970296
251,2018-01-14,YX,60.0,685.0,0.08759124087591241
252,2018-01-15,9E,151.0,679.0,0.22238586156111928
253,2018-01-15,AA,447.0,2350.0,0.19021276595744682
254,2018-01-15,AS,32.0,503.0,0.0636182902584493
255,2018-01-15,B6,315.0,832.0,0.3786057692307692
256,2018-01-15,DL,520.0,2499.0,0.20808323329331732
257,2018-01-15,EV,145.0,679.0,0.21354933726067746
258,2018-01-15,F9,121.0,320.0,0.378125
259,2018-01-15,G4,72.0,310.0,0.23225806451612904
260,2018-01-15,HA,5.0,210.0,0.023809523809523808
261,2018-01-15,MQ,293.0,731.0,0.4008207934336525
262,2018-01-15,NK,76.0,461.0,0.1648590021691974
263,2018-01-15,OH,165.0,696.0,0.23706896551724138
264,2018-01-15,OO,764.0,2110.0,0.36208530805687206
265,2018-01-15,UA,299.0,1480.0,0.20202702702702702
266,2018-01-15,VX,18.0,192.0,0.09375
267,2018-01-15,WN,976.0,3647.0,0.26761721963257473
268,2018-01-15,YV,69.0,527.0,0.13092979127134724
269,2018-01-15,YX,194.0,849.0,0.22850412249705537
270,2018-01-16,9E,95.0,642.0,0.14797507788161993
271,2018-01-16,AA,248.0,2248.0,0.1103202846975089
272,2018-01-16,AS,28.0,490.0,0.05714285714285714
273,2018-01-16,B6,163.0,798.0,0.20426065162907267
274,2018-01-16,DL,334.0,2371.0,0.14086883171657527
275,2018-01-16,EV,127.0,681.0,0.18649045521292218
276,2018-01-16,F9,76.0,312.0,0.24358974358974358
277,2018-01-16,G4,10.0,52.0,0.19230769230769232
278,2018-01-16,HA,14.0,208.0,0.0673076923076923
279,2018-01-16,MQ,198.0,720.0,0.275
280,2018-01-16,NK,40.0,452.0,0.08849557522123894
281,2018-01-16,OH,149.0,696.0,0.21408045977011494
282,2018-01-16,OO,497.0,2060.0,0.2412621359223301
283,2018-01-16,UA,208.0,1411.0,0.147413182140326
284,2018-01-16,VX,11.0,188.0,0.05851063829787234
285,2018-01-16,WN,963.0,3640.0,0.26456043956043956
286,2018-01-16,YV,68.0,482.0,0.14107883817427386
287,2018-01-16,YX,120.0,840.0,0.14285714285714285
288,2018-01-17,9E,213.0,639.0,0.3333333333333333
289,2018-01-17,AA,592.0,2416.0,0.24503311258278146
290,2018-01-17,AS,42.0,494.0,0.08502024291497975
291,2018-01-17,B6,265.0,803.0,0.3300124533001245
292,2018-01-17,DL,1083.0,2429.0,0.4458624948538493
293,2018-01-17,EV,296.0,692.0,0.4277456647398844
294,2018-01-17,F9,66.0,315.0,0.20952380952380953
295,2018-01-17,G4,12.0,126.0,0.09523809523809523
296,2018-01-17,HA,29.0,210.0,0.1380952380952381
297,2018-01-17,MQ,108.0,741.0,0.145748987854251
298,2018-01-17,NK,104.0,454.0,0.2290748898678414
299,2018-01-17,OH,199.0,764.0,0.2604712041884817
300,2018-01-17,OO,465.0,2095.0,0.22195704057279236
301,2018-01-17,UA,381.0,1429.0,0.26662001399580126
302,2018-01-17,VX,18.0,189.0,0.09523809523809523
303,2018-01-17,WN,979.0,3640.0,0.26895604395604394
304,2018-01-17,YV,146.0,521.0,0.2802303262955854
305,2018-01-17,YX,254.0,862.0,0.29466357308584684
306,2018-01-18,9E,157.0,679.0,0.23122238586156113
307,2018-01-18,AA,411.0,2487.0,0.1652593486127865
308,2018-01-18,AS,48.0,501.0,0.09580838323353294
309,2018-01-18,B6,186.0,831.0,0.22382671480144403
310,2018-01-18,DL,877.0,2563.0,0.3421771361685525
311,2018-01-18,EV,193.0,695.0,0.2776978417266187
312,2018-01-18,F9,60.0,316.0,0.189873417721519
313,2018-01-18,G4,54.0,278.0,0.19424460431654678
314,2018-01-18,HA,22.0,209.0,0.10526315789473684
315,2018-01-18,MQ,113.0,770.0,0.14675324675324675
316,2018-01-18,NK,53.0,458.0,0.11572052401746726
317,2018-01-18,OH,167.0,765.0,0.21830065359477124
318,2018-01-18,OO,379.0,2138.0,0.1772684752104771
319,2018-01-18,UA,206.0,1477.0,0.13947190250507785
320,2018-01-18,VX,41.0,196.0,0.20918367346938777
321,2018-01-18,WN,681.0,3640.0,0.1870879120879121
322,2018-01-18,YV,88.0,544.0,0.16176470588235295
323,2018-01-18,YX,124.0,871.0,0.1423650975889782
324,2018-01-19,9E,69.0,681.0,0.1013215859030837
325,2018-01-19,AA,254.0,2507.0,0.10131631431990427
326,2018-01-19,AS,25.0,501.0,0.0499001996007984
327,2018-01-19,B6,117.0,833.0,0.1404561824729892
328,2018-01-19,DL,235.0,2571.0,0.09140412290937379
329,2018-01-19,EV,122.0,696.0,0.1752873563218391
330,2018-01-19,F9,48.0,316.0,0.1518987341772152
331,2018-01-19,G4,37.0,310.0,0.11935483870967742
332,2018-01-19,HA,9.0,226.0,0.03982300884955752
333,2018-01-19,MQ,40.0,772.0,0.05181347150259067
334,2018-01-19,NK,19.0,460.0,0.041304347826086954
335,2018-01-19,OH,163.0,765.0,0.2130718954248366
336,2018-01-19,OO,222.0,2142.0,0.10364145658263306
337,2018-01-19,UA,155.0,1489.0,0.10409670920080591
338,2018-01-19,VX,11.0,196.0,0.05612244897959184
339,2018-01-19,WN,585.0,3650.0,0.16027397260273973
340,2018-01-19,YV,81.0,547.0,0.1480804387568556
341,2018-01-19,YX,85.0,872.0,0.09747706422018348
342,2018-01-20,9E,12.0,376.0,0.031914893617021274
343,2018-01-20,AA,152.0,1989.0,0.07642031171442937
344,2018-01-20,AS,31.0,449.0,0.06904231625835189
345,2018-01-20,B6,104.0,689.0,0.1509433962264151
346,2018-01-20,DL,73.0,1719.0,0.04246655031995346
347,2018-01-20,EV,29.0,463.0,0.06263498920086392
348,2018-01-20,F9,50.0,316.0,0.15822784810126583
349,2018-01-20,G4,16.0,128.0,0.125
350,2018-01-20,HA,8.0,212.0,0.03773584905660377
351,2018-01-20,MQ,23.0,521.0,0.044145873320537425
352,2018-01-20,NK,15.0,460.0,0.03260869565217391
353,2018-01-20,OH,114.0,635.0,0.1795275590551181
354,2018-01-20,OO,144.0,1581.0,0.09108159392789374
355,2018-01-20,UA,75.0,1205.0,0.06224066390041494
356,2018-01-20,VX,10.0,150.0,0.06666666666666667
357,2018-01-20,WN,265.0,2884.0,0.09188626907073509
358,2018-01-20,YV,74.0,456.0,0.16228070175438597
359,2018-01-20,YX,35.0,628.0,0.05573248407643312
360,2018-01-21,9E,33.0,563.0,0.0586145648312611
361,2018-01-21,AA,368.0,2343.0,0.157063593683312
362,2018-01-21,AS,43.0,485.0,0.088659793814433
363,2018-01-21,B6,144.0,794.0,0.181360201511335
364,2018-01-21,DL,166.0,2321.0,0.07152089616544594
365,2018-01-21,EV,49.0,625.0,0.0784
366,2018-01-21,F9,40.0,314.0,0.12738853503184713
367,2018-01-21,G4,41.0,290.0,0.1413793103448276
368,2018-01-21,HA,10.0,218.0,0.045871559633027525
369,2018-01-21,MQ,120.0,737.0,0.1628222523744912
370,2018-01-21,NK,37.0,458.0,0.08078602620087336
371,2018-01-21,OH,76.0,699.0,0.10872675250357654
372,2018-01-21,OO,470.0,2012.0,0.23359840954274355
373,2018-01-21,UA,335.0,1421.0,0.23574947220267417
374,2018-01-21,VX,58.0,188.0,0.30851063829787234
375,2018-01-21,WN,613.0,3297.0,0.1859265999393388
376,2018-01-21,YV,91.0,513.0,0.17738791423001948
377,2018-01-21,YX,49.0,784.0,0.0625
378,2018-01-22,9E,43.0,680.0,0.06323529411764706
379,2018-01-22,AA,220.0,2433.0,0.09042334566378955
380,2018-01-22,AS,27.0,502.0,0.053784860557768925
