,year,num_parts,log_parts
2683,1973,276,8.108524456778168
2684,1998,172,7.426264754702098
2685,1999,258,8.011227255423254
2686,2003,47,5.554588851677638
2687,2003,224,7.807354922057604
2688,1972,1,0.0
2689,1998,265,8.049848549450562
2690,2009,14,3.807354922057604
2691,2005,2000,10.965784284662087
2692,2005,250,7.965784284662087
2693,1970,158,7.303780748177103
2694,2005,1201,10.230020435705635
2695,1974,211,7.721099188707185
2696,1981,7,2.807354922057604
2697,1980,4,2.0
2698,1981,4,2.0
2699,1980,4,2.0
2700,1980,2,1.0
2701,1974,214,7.741466986401147
2702,1979,79,6.303780748177103
2703,2002,32,5.0
2704,1981,4,2.0
2705,1975,211,7.721099188707185
2706,1988,14,3.807354922057604
2707,1988,25,4.643856189774724
2708,1985,27,4.754887502163468
2709,1985,9,3.169925001442312
2710,1983,17,4.087462841250339
2711,1983,24,4.584962500721156
2712,1981,5,2.321928094887362
2713,1981,17,4.087462841250339
2714,1984,9,3.169925001442312
2715,1975,229,7.839203788096944
2716,1985,27,4.754887502163468
2717,1986,14,3.807354922057604
2718,1980,18,4.169925001442312
2719,1981,31,4.954196310386875
2720,1987,21,4.392317422778761
2721,1983,15,3.9068905956085187
2722,1983,17,4.087462841250339
2723,1984,12,3.584962500721156
2724,1975,515,9.00842862207058
2725,1985,25,4.643856189774724
2726,1985,18,4.169925001442312
2727,1985,12,3.584962500721156
2728,1986,11,3.4594316186372973
2729,1987,26,4.700439718141092
2730,1988,54,5.754887502163468
2731,1989,44,5.459431618637297
2732,2011,172,7.426264754702098
2733,1975,591,9.207014320177532
2734,1990,337,8.396604781181859
2735,1982,44,5.459431618637297
2736,2011,236,7.882643049361842
2737,1987,17,4.087462841250339
2738,1985,28,4.807354922057604
2739,1981,184,7.523561956057013
2740,2011,408,8.672425341971495
2741,1987,33,5.044394119358453
2742,1989,22,4.459431618637297
2743,1984,63,5.977279923499917
2744,1980,38,5.247927513443585
2745,1982,29,4.857980995127572
2746,1982,63,5.977279923499917
2747,1986,48,5.584962500721156
2748,1982,32,5.0
2749,1984,54,5.754887502163468
2750,1975,363,8.50382573799575
2751,1984,55,5.78135971352466
2752,1982,60,5.906890595608519
2753,1985,64,6.0
2754,1987,41,5.357552004618084
2755,1987,106,6.727920454563199
2756,1989,42,5.392317422778761
2757,2011,826,9.689997971419446
2758,1982,114,6.832890014164741
2759,1986,80,6.321928094887363
2760,1988,24,4.584962500721156
2761,1976,157,7.294620748891627
2762,1985,104,6.700439718141092
2763,1987,153,7.257387842692652
2764,1988,91,6.507794640198696
2765,1976,273,8.092757140919852
