,origin,hold,perc,count,total
245,STX,STX,0.111111111,1,81
246,SUN,SUN,0.02739726,0,73
247,SWF,SWF,0.365591398,3,93
248,SYR,SYR,0.209988649,2,881
249,TLH,TLH,0.109414758,1,393
250,TOL,TOL,0.125,1,64
251,TPA,TPA,0.17016129,1,6200
252,TRI,TRI,0.121212121,1,165
253,TUL,TUL,0.113653699,1,1311
254,TUS,TUS,0.120987654,1,1620
255,TVC,TVC,0.241545894,2,207
256,TWF,TWF,0.130841121,1,107
257,TXK,TXK,0.091954023,0,87
258,TYR,TYR,0.12173913,1,115
259,TYS,TYS,0.135990621,1,853
260,VLD,VLD,0.093023256,0,86
261,VPS,VPS,0.100303951,1,329
262,WRG,WRG,0.189655172,1,58
263,XNA,XNA,0.175849941,1,853
264,YAK,YAK,0.181818182,1,55
265,YUM,YUM,0.060869565,0,115
