,Month,Airport,Number of Delays,Total Flights,Percent Delayed,Airport Name,Category
443,2,FAY,48.0,266.0,0.18045112781954886,"Fayetteville, NC: Fayetteville Regional/Grannis Field",2
444,2,FCA,21.0,116.0,0.1810344827586207,"Kalispell, MT: Glacier Park International",2
445,2,FLG,24.0,82.0,0.2926829268292683,"Flagstaff, AZ: Flagstaff Pulliam",3
446,2,FLL,1609.0,7899.0,0.2036966704646158,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2
447,2,FLO,2.0,14.0,0.14285714285714285,"Florence, SC: Florence Regional",2
448,2,FNT,42.0,329.0,0.1276595744680851,"Flint, MI: Bishop International",2
449,2,FSD,115.0,468.0,0.24572649572649571,"Sioux Falls, SD: Joe Foss Field",3
450,2,FSM,34.0,154.0,0.22077922077922077,"Fort Smith, AR: Fort Smith Regional",2
451,2,FWA,98.0,545.0,0.1798165137614679,"Fort Wayne, IN: Fort Wayne International",2
452,2,GCC,10.0,72.0,0.1388888888888889,"Gillette, WY: Gillette Campbell County",2
453,2,GCK,12.0,56.0,0.21428571428571427,"Garden City, KS: Garden City Regional",2
454,2,GEG,122.0,868.0,0.14055299539170507,"Spokane, WA: Spokane International",2
455,2,GFK,23.0,154.0,0.14935064935064934,"Grand Forks, ND: Grand Forks International",2
456,2,GGG,9.0,51.0,0.17647058823529413,"Longview, TX: East Texas Regional",2
457,2,GJT,43.0,266.0,0.16165413533834586,"Grand Junction, CO: Grand Junction Regional",2
458,2,GNV,71.0,336.0,0.2113095238095238,"Gainesville, FL: Gainesville Regional",2
459,2,GPT,32.0,297.0,0.10774410774410774,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",2
460,2,GRB,39.0,326.0,0.1196319018404908,"Green Bay, WI: Green Bay Austin Straubel International",2
461,2,GRI,18.0,68.0,0.2647058823529412,"Grand Island, NE: Central Nebraska Regional",3
462,2,GRK,38.0,205.0,0.18536585365853658,"Killeen, TX: Robert Gray AAF",2
463,2,GRR,234.0,1281.0,0.18266978922716628,"Grand Rapids, MI: Gerald R. Ford International",2
464,2,GSO,141.0,891.0,0.15824915824915825,"Greensboro/High Point, NC: Piedmont Triad International",2
465,2,GSP,141.0,815.0,0.17300613496932515,"Greer, SC: Greenville-Spartanburg International",2
466,2,GTF,11.0,101.0,0.10891089108910891,"Great Falls, MT: Great Falls International",2
467,2,GTR,8.0,77.0,0.1038961038961039,"Columbus, MS: Golden Triangle Regional",2
468,2,GUC,7.0,36.0,0.19444444444444445,"Gunnison, CO: Gunnison-Crested Butte Regional",2
469,2,GUM,2.0,28.0,0.07142857142857142,"Guam, TT: Guam International",1
470,2,HDN,53.0,208.0,0.2548076923076923,"Hayden, CO: Yampa Valley",3
471,2,HGR,3.0,8.0,0.375,"Hagerstown, MD: Hagerstown Regional-Richard A. Henson Field",4
472,2,HIB,5.0,48.0,0.10416666666666667,"Hibbing, MN: Range Regional",2
473,2,HLN,17.0,118.0,0.1440677966101695,"Helena, MT: Helena Regional",2
474,2,HNL,353.0,3528.0,0.10005668934240362,"Honolulu, HI: Daniel K Inouye International",2
475,2,HOB,6.0,52.0,0.11538461538461539,"Hobbs, NM: Lea County Regional",2
476,2,HOU,1173.0,4214.0,0.2783578547698149,"Houston, TX: William P Hobby",3
477,2,HPN,170.0,689.0,0.2467343976777939,"White Plains, NY: Westchester County",3
478,2,HRL,70.0,260.0,0.2692307692307692,"Harlingen/San Benito, TX: Valley International",3
479,2,HSV,81.0,604.0,0.13410596026490065,"Huntsville, AL: Huntsville International-Carl T Jones Field",2
480,2,HTS,6.0,22.0,0.2727272727272727,"Ashland, WV: Tri-State/Milton J. Ferguson Field",3
481,2,HVN,15.0,80.0,0.1875,"New Haven, CT: Tweed New Haven",2
482,2,HYS,8.0,48.0,0.16666666666666666,"Hays, KS: Hays Regional",2
483,2,IAD,519.0,4469.0,0.11613336316849407,"Washington, DC: Washington Dulles International",2
484,2,IAG,12.0,78.0,0.15384615384615385,"Niagara Falls, NY: Niagara Falls International",2
485,2,IAH,1906.0,12974.0,0.14690920302142746,"Houston, TX: George Bush Intercontinental/Houston",2
486,2,ICT,134.0,756.0,0.17724867724867724,"Wichita, KS: Wichita Dwight D Eisenhower National",2
487,2,IDA,20.0,176.0,0.11363636363636363,"Idaho Falls, ID: Idaho Falls Regional",2
488,2,IFP,3.0,14.0,0.21428571428571427,"Bullhead City, AZ: Laughlin/Bullhead International",2
489,2,ILM,64.0,434.0,0.14746543778801843,"Wilmington, NC: Wilmington International",2
490,2,IMT,14.0,52.0,0.2692307692307692,"Iron Mountain/Kingsfd, MI: Ford",3
491,2,IND,517.0,3516.0,0.14704209328782708,"Indianapolis, IN: Indianapolis International",2
492,2,INL,5.0,48.0,0.10416666666666667,"International Falls, MN: Falls International Einarson Field",2
493,2,ISN,16.0,108.0,0.14814814814814814,"Williston, ND: Sloulin Field International",2
494,2,ISP,99.0,516.0,0.19186046511627908,"Islip, NY: Long Island MacArthur",2
495,2,ITH,12.0,79.0,0.1518987341772152,"Ithaca/Cortland, NY: Ithaca Tompkins Regional",2
496,2,ITO,70.0,460.0,0.15217391304347827,"Hilo, HI: Hilo International",2
497,2,JAC,79.0,338.0,0.23372781065088757,"Jackson, WY: Jackson Hole",3
498,2,JAN,92.0,557.0,0.1651705565529623,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",2
499,2,JAX,326.0,2068.0,0.1576402321083172,"Jacksonville, FL: Jacksonville International",2
500,2,JFK,1303.0,9268.0,0.14059128182995254,"New York, NY: John F. Kennedy International",2
501,2,JLN,12.0,70.0,0.17142857142857143,"Joplin, MO: Joplin Regional",2
502,2,JMS,10.0,76.0,0.13157894736842105,"Jamestown, ND: Jamestown Regional",2
503,2,JNU,43.0,296.0,0.14527027027027026,"Juneau, AK: Juneau International",2
504,2,KOA,171.0,1093.0,0.1564501372369625,"Kona, HI: Ellison Onizuka Kona International at Keahole",2
505,2,KTN,26.0,164.0,0.15853658536585366,"Ketchikan, AK: Ketchikan International",2
506,2,LAN,46.0,252.0,0.18253968253968253,"Lansing, MI: Capital Region International",2
507,2,LAR,6.0,48.0,0.125,"Laramie, WY: Laramie Regional",2
508,2,LAS,2568.0,11849.0,0.21672714997046164,"Las Vegas, NV: McCarran International",2
509,2,LAW,16.0,97.0,0.16494845360824742,"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional",2
510,2,LAX,2753.0,16101.0,0.17098316874728278,"Los Angeles, CA: Los Angeles International",2
511,2,LBB,108.0,481.0,0.22453222453222454,"Lubbock, TX: Lubbock Preston Smith International",2
512,2,LBE,5.0,94.0,0.05319148936170213,"Latrobe, PA: Arnold Palmer Regional",1
513,2,LBF,6.0,47.0,0.1276595744680851,"North Platte, NE: North Platte Regional Airport Lee Bird Field",2
514,2,LBL,5.0,39.0,0.1282051282051282,"Liberal, KS: Liberal Mid-America Regional",2
515,2,LCH,20.0,138.0,0.14492753623188406,"Lake Charles, LA: Lake Charles Regional",2
